# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
82            	1.8039920e-02	5.3131170e-03	5.3010110e-03	2.5148120e-03
83            	1.7688870e-02	5.2684900e-03	5.2581830e-03	2.4890040e-03
84            	1.7359370e-02	5.2221380e-03	5.2112360e-03	2.4629290e-03
85            	1.7222180e-02	5.1778270e-03	5.1671580e-03	2.4375870e-03
86            	1.6936430e-02	5.1360210e-03	5.1247660e-03	2.4125710e-03
87            	1.6669970e-02	5.0930900e-03	5.0825550e-03	2.3877100e-03
88            	1.6528810e-02	5.0538180e-03	5.0415550e-03	2.3630480e-03
89            	1.6254710e-02	5.0156010e-03	5.0023880e-03	2.3389330e-03
90            	1.5961020e-02	4.9765790e-03	4.9622550e-03	2.3148400e-03
91            	1.5953380e-02	4.9369390e-03	4.9224750e-03	2.2911300e-03
92            	1.5759500e-02	4.9004690e-03	4.8865400e-03	2.2676000e-03
93            	1.5402170e-02	4.8635420e-03	4.8525890e-03	2.2444960e-03
94            	1.5280160e-02	4.8258010e-03	4.8156550e-03	2.2214460e-03
95            	1.5140810e-02	4.7926280e-03	4.7810200e-03	2.1990180e-03
96            	1.5190520e-02	4.7617010e-03	4.7468210e-03	2.1771150e-03
97            	1.5251510e-02	4.7309310e-03	4.7174180e-03	2.1553860e-03
98            	1.5169840e-02	4.7020480e-03	4.6897040e-03	2.1344910e-03
99            	1.4945300e-02	4.6721600e-03	4.6549480e-03	2.1137220e-03
100           	1.4749740e-02	4.6380120e-03	4.6224970e-03	2.0932100e-03
101           	1.4292180e-02	4.6050130e-03	4.5933460e-03	2.0731990e-03
102           	1.4006170e-02	4.5681530e-03	4.5563660e-03	2.0535930e-03
103           	1.3933720e-02	4.5361510e-03	4.5237500e-03	2.0351140e-03
104           	1.3870010e-02	4.5053470e-03	4.4933410e-03	2.0169670e-03
105           	1.3677960e-02	4.4745020e-03	4.4672070e-03	1.9991920e-03
106           	1.3441470e-02	4.4435560e-03	4.4336950e-03	1.9816990e-03
107           	1.3281730e-02	4.4138360e-03	4.4037540e-03	1.9647790e-03
108           	1.3158420e-02	4.3837640e-03	4.3743890e-03	1.9482310e-03
109           	1.3009360e-02	4.3549760e-03	4.3465030e-03	1.9322740e-03
110           	1.2786720e-02	4.3272020e-03	4.3177510e-03	1.9167270e-03
111           	1.2784480e-02	4.2988990e-03	4.2889890e-03	1.9018220e-03
112           	1.2813240e-02	4.2728930e-03	4.2630180e-03	1.8875140e-03
113           	1.2947940e-02	4.2509570e-03	4.2367860e-03	1.8733850e-03
114           	1.2744500e-02	4.2296030e-03	4.2173380e-03	1.8595570e-03
115           	1.2425850e-02	4.1994250e-03	4.1901720e-03	1.8456570e-03
116           	1.2264980e-02	4.1732070e-03	4.1626200e-03	1.8326830e-03
117           	1.2258960e-02	4.1473970e-03	4.1375600e-03	1.8202080e-03
118           	1.2195940e-02	4.1242270e-03	4.1174820e-03	1.8083230e-03
119           	1.1966010e-02	4.1015280e-03	4.0905350e-03	1.7961230e-03
120           	1.1907360e-02	4.0789730e-03	4.0650100e-03	1.7840310e-03
121           	1.1675480e-02	4.0562190e-03	4.0420610e-03	1.7720910e-03
122           	1.1567700e-02	4.0329430e-03	4.0174600e-03	1.7604820e-03
