# Residuals   
# Time        	p             	Ux            	Uy            	Uz            
1             	1.0000000e+00	1.0000000e+00	1.0000000e+00	1.0000000e+00
2             	6.4431550e-01	3.4234690e-01	3.4335430e-01	2.6546700e-01
3             	4.0081360e-01	1.5213310e-01	1.4389020e-01	8.7792700e-02
4             	2.9097110e-01	5.6280530e-02	6.1945230e-02	3.0557680e-02
5             	2.9464820e-01	6.4183200e-02	6.2119380e-02	3.2166130e-02
6             	2.4372460e-01	4.0132120e-02	4.0386540e-02	1.8619390e-02
7             	1.5667970e-01	4.6418880e-02	4.6202960e-02	2.3538470e-02
8             	1.2180180e-01	3.9508240e-02	3.9585800e-02	2.0521340e-02
9             	1.0759420e-01	3.1477870e-02	3.2601750e-02	1.6031630e-02
10            	9.1420920e-02	2.9098080e-02	3.0656340e-02	1.4455380e-02
11            	8.0155710e-02	2.7950070e-02	2.9748400e-02	1.3870880e-02
12            	7.1036010e-02	2.7293000e-02	2.9118040e-02	1.3794840e-02
13            	6.5443200e-02	2.5878600e-02	2.7623330e-02	1.3191940e-02
14            	6.2442170e-02	2.4461050e-02	2.6127700e-02	1.2463120e-02
15            	6.1390660e-02	2.3254050e-02	2.4619660e-02	1.1727470e-02
16            	6.2594200e-02	2.2259570e-02	2.2983810e-02	1.0913170e-02
17            	6.0468030e-02	2.1472540e-02	2.1474770e-02	1.0154180e-02
18            	5.7860930e-02	2.0451770e-02	2.0444060e-02	9.8197370e-03
19            	5.5815500e-02	1.9375230e-02	1.9715590e-02	9.5639890e-03
20            	5.5200760e-02	1.8537150e-02	1.8890690e-02	9.1944070e-03
21            	5.4910040e-02	1.7755840e-02	1.7751530e-02	8.6632780e-03
22            	5.2976820e-02	1.7231210e-02	1.7019260e-02	8.2937660e-03
23            	5.1877290e-02	1.6671060e-02	1.6294750e-02	8.0258860e-03
24            	4.8958860e-02	1.6091250e-02	1.5738740e-02	7.7720030e-03
25            	4.7431140e-02	1.5698200e-02	1.5501460e-02	7.6622350e-03
26            	4.6404270e-02	1.5190850e-02	1.5166720e-02	7.5091970e-03
27            	4.6944650e-02	1.4762810e-02	1.4766790e-02	7.3145680e-03
28            	4.5431950e-02	1.4462000e-02	1.4498190e-02	7.1273920e-03
29            	4.3893780e-02	1.4242650e-02	1.4197500e-02	6.9607740e-03
30            	4.2190540e-02	1.3894740e-02	1.3982290e-02	6.8493670e-03
31            	4.1904110e-02	1.3510270e-02	1.3777580e-02	6.7468650e-03
32            	4.6375500e-02	1.3311160e-02	1.3529430e-02	6.6347210e-03
33            	4.5961020e-02	1.2820200e-02	1.2864910e-02	6.3079660e-03
34            	4.3557720e-02	1.2488530e-02	1.2592350e-02	6.1803800e-03
35            	4.1579370e-02	1.2471520e-02	1.2639790e-02	6.1990280e-03
36            	3.9848380e-02	1.2533690e-02	1.2642190e-02	6.1518850e-03
37            	3.9337760e-02	1.2351450e-02	1.2534970e-02	6.0761380e-03
38            	4.0099890e-02	1.2369360e-02	1.2465570e-02	5.9577440e-03
39            	4.1536610e-02	1.1980820e-02	1.2160200e-02	5.8815980e-03
40            	4.2546710e-02	1.1833350e-02	1.1917090e-02	5.7457750e-03
41            	3.9504380e-02	1.1649020e-02	1.1636030e-02	5.5758360e-03
42            	3.8680950e-02	1.1900560e-02	1.1988240e-02	5.7006290e-03
43            	3.9514280e-02	1.1945290e-02	1.1820620e-02	5.5970380e-03
44            	3.8256110e-02	1.1697850e-02	1.1519800e-02	5.4703400e-03
45            	3.8835590e-02	1.1461310e-02	1.1334930e-02	5.3886910e-03
46            	3.6778030e-02	1.1312930e-02	1.1160070e-02	5.2778310e-03
47            	3.5076290e-02	1.1171890e-02	1.1098260e-02	5.2403730e-03
48            	3.7186680e-02	1.1143340e-02	1.1076900e-02	5.1952830e-03
49            	4.0636530e-02	1.1041730e-02	1.0838720e-02	5.0918780e-03
50            	3.9982050e-02	1.0869280e-02	1.0580170e-02	4.9223090e-03
51            	3.6961410e-02	1.0836940e-02	1.0652800e-02	4.9000680e-03
52            	3.6734610e-02	1.0812680e-02	1.0621830e-02	4.9283960e-03
53            	3.6959490e-02	1.0642930e-02	1.0345610e-02	4.8264860e-03
54            	3.4057030e-02	1.0633280e-02	1.0194600e-02	4.7104490e-03
55            	3.3383590e-02	1.0463870e-02	1.0116270e-02	4.6668300e-03
56            	3.3424980e-02	1.0338710e-02	9.9784970e-03	4.5992780e-03
